;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;PC16;PC17;PC18;PC19;PC20
67;0.05231262068551416;0.203514340992455;0.17182730163256996;0.007948681705142487;-0.06359011293047383;0.005028151046688369;-0.0216546298503204;-0.04603996700129753;0.03972484910974153;-0.022501146109285306;-0.009102971578861708;-0.027583229267410577;-0.011573659123795665;0.020848418898341416;-0.017278393838119785;0.010269732323032313;-0.020281256377660054;0.02196097293366434;-0.03615421435234163;-0.007075116886979038
68;-0.06970354663147524;0.06950395349499708;0.10434058002773347;-0.2823494988249602;0.10628781411812736;-0.017243541739189457;-0.010630786325632285;0.10235928768101873;0.1606689116976691;-0.11434198096197763;-0.13268351991957467;0.0590841142342771;0.08200750084948827;-0.05044087455149544;0.11275316620912909;-0.028586484871993445;-0.0010859964102418063;0.024986131513496795;-0.05707744593074854;0.0008622844581551159
69;-0.07019139440208834;0.07005692337321405;0.1047020690651527;-0.28186437263186337;0.10232903487164711;-0.012551066512605326;-0.0133249924422659;0.1018623894951431;0.15841030882742355;-0.11900617416467436;-0.13155168339385703;0.06122996200772517;0.08490439008727127;-0.058800268926888985;0.11163860118559368;-0.019070017878847417;-0.006143117144419773;0.010272970277844132;-0.06716035793714961;0.0001025424540854955
70;0.11286690249947604;0.13293206704707747;-0.15623002966167826;-0.019249774892717793;-0.042680637632323055;-0.0031241283745017676;-0.053599429129676746;0.15582226494216425;0.10004167437064937;0.06735531018831452;-0.10960193942190198;0.05931425296792236;0.007485033213602015;0.11790608219131347;-0.2106997007990528;0.04127668840304049;0.007147396151796888;-0.01564134731099214;0.03985553334608609;-0.0669621100682701
71;0.17228028009458432;-0.09073627891275042;0.08049995181168337;-0.0427909286101747;-0.02814411004733762;0.015698593380595878;0.04613974284904167;-0.06668617802039262;0.0854555714575784;-0.0002754983667665814;-0.05223141464660291;-0.021509207668362455;-0.12300022935487404;0.04292232923609866;-0.05827022037887726;-0.024131171036477418;-0.01995473526478417;-0.1001998793295933;-0.07168269869128577;0.0021985298408571594
72;0.17613583305641065;-0.06848394969556686;0.07086188373775211;-0.06705324850197225;0.0037584116482977867;-0.04019992547089965;0.0584537522067159;-0.09329246245069517;-0.059071721681609984;-0.022597812127210903;-0.07432143259514983;0.03779173339538535;-0.033418760965300276;-0.0515313689301672;-0.008011716982918908;0.00798796540647743;-0.059319874395226235;-0.026789199418562185;0.039075670741519346;-0.13099697991495765
75;0.17071691906582775;-0.08652169757603569;-0.040521895208189856;-0.10133166450789767;0.020585960166697982;-0.056674183439282655;0.09458153020859648;-0.11654913616015453;0.004881216031856095;0.006812829553892924;0.009590003533268585;-0.13188845861482285;0.029264492611180935;-0.018508443894589305;0.025702673887207452;0.01639242359554364;-0.03559195683739804;-0.05054533841028612;-0.0522979279675474;-0.08752694566521585
76;0.17080752428845833;-0.0865739559270085;-0.039474309905726715;-0.10138082052843142;0.02144145437955684;-0.056399250166876455;0.09425299548786972;-0.11734438379284938;0.0036682562634947347;0.007090768650206105;0.008062545177844329;-0.13092528976212597;0.028924170774066667;-0.020033507198814755;0.025641956391577847;0.016721190541032015;-0.03649721020783389;-0.05005422697452282;-0.051067479818347666;-0.08769562441987086
79;0.16679515639170467;-0.05496264899542141;0.12758994077056024;-0.037509897551799;0.013560974316067974;-0.0038384617911592037;-0.06489596641826796;0.052262744477381065;-0.15766416714007747;-0.06990079300835264;0.04157823908510054;0.10563458330253134;-0.034573136881423966;0.055277701838652424;0.018881421652006094;-0.022174965353109824;0.033142579946342995;0.09840643731732691;0.048266386112107124;0.0005828957079063932
82;0.09422073254149446;-0.0023709279390724545;0.07151842532514288;0.20275076503864087;0.20312545839078258;-0.11446620593517393;0.12246119099574332;0.17719611583926842;0.08689245100989697;0.01405440389819972;0.1371189111756924;0.016843822650030787;-0.1055122945212085;-0.11177192648582804;0.12432215737234066;-0.020064772741973352;-0.07567886585636766;-0.05322842753865835;0.034543666851946556;0.024474270119529143
83;0.12757402856578132;0.12208958919891151;-0.061735488096247036;0.0718511188618538;0.042120035650267416;-0.1167124017589473;-0.0038067765048909806;0.07272532808297952;0.1094275974087324;0.08275511322030402;-0.07059798414170276;0.20611408390076916;-0.15280869155360677;-0.011975217471563495;-0.025294464844872973;-0.121382240405698;-0.04791617572261827;-0.11793651660842684;0.22938953260976971;-0.14988872872664372
85;0.16570171860200714;-0.07060733346859889;0.0028649233128599234;-0.10098283478839976;0.02379612949075834;-0.0851411351701313;0.09085820003515489;-0.13879723349927903;-0.08728773877989453;-0.027414222595776847;-0.05329950188180268;-0.0993116704124486;0.002744275700716954;-0.03656127975427867;0.010658638053570403;0.013857151539418952;-0.07407359566277306;-0.06911166266840302;-0.06397438927659099;-0.2264172976265013
86;-0.06510275337577155;0.09774701878885693;0.139263302721101;-0.24752195161571927;0.11749112613727157;-0.09356066501652306;0.028575519957082504;0.06527133977494372;0.045222552125048124;0.08363573624855847;0.16425128738505448;0.009592057325222607;0.005832043620844135;0.029841223663390804;-0.0003254817403257719;0.0641989083039288;0.006796939786525243;-0.0022677092124603407;-0.043445334828988595;-0.07144593346790826
87;0.12708541850280483;0.16882941888873373;-0.0896062901139027;-0.036864924304623355;-0.008643400446996182;-0.08277340348319454;0.013633209507031391;-0.020908587707596613;0.023456161218911892;0.01166885191230827;-0.0002769866730190293;-0.005453046809465838;0.002601816666877931;-0.03595015678715135;0.013092474105705035;0.0072868343555216875;-0.006147285177621878;-0.051715987124336;-0.06477836648371155;0.21550770618029247
88;0.047034441642273654;0.20545359332144378;0.16927662976057684;0.006488638736072286;-0.0675336425691771;0.0004162415325658647;-0.01929130957796928;-0.04883324127670706;0.02343206795420619;-0.05259457830120467;-0.0040458282306792895;-0.040502295498457394;-0.0020121941886388495;0.030894605494101463;-0.021439183755710724;0.022425338869296804;-0.0054863569955238105;0.019590627403253527;0.005000642039467283;-0.040364687013576296
89;0.02594459931070034;0.07760035848443089;-0.013964310819382203;0.017487507027156613;0.07779645840018316;0.16510294937858278;0.37190096070030904;-0.011702115670206435;-0.18413600867473062;0.22048800688694614;0.269785710874945;-0.13506184396469692;-0.10273704556326113;0.16345985407066208;-0.00907160103467541;0.009982202142718458;0.17680701677425442;-0.015173078455872163;0.06225315949936153;-0.05129969569305132
90;-0.09158053510401039;0.02522003503132492;0.06752982140645523;-0.2303988107195355;0.14927210707188343;-0.1643680262836924;0.04551902179435816;0.07998021946369507;-0.0792473920831382;0.15813696941507407;0.25281406113774474;-0.00859245791254816;-0.11988015972589923;0.07084530774405502;-0.1018827125567989;0.08161142937490537;0.128050303036314;-0.12697210393088146;0.02516486094956702;-0.02421653784310123
91;0.09162873630728482;-0.025257823526331304;-0.06704609630627688;0.23047310585878278;-0.14964708035763935;0.1647055904712443;-0.045573786486235966;-0.07998068354402667;0.07880146801837828;-0.15915239083041052;-0.2519614412894752;0.008462361899236624;0.12072906098417208;-0.07033701594524468;0.09959276329071402;-0.08189763665152082;-0.12846783628150693;0.12710226310499348;-0.023243557944667925;0.023949612761423107
92;0.17674448614407945;-0.08483051906111606;0.0974074913931398;-0.013474285822742215;-0.056730101542633346;0.01985706841149636;-0.007283580479299589;0.057982311006728474;-0.04302524389407359;-0.09506377800911349;0.045751098446640506;0.03733759939336201;0.016590111688221706;0.015111787109067968;0.028832145485125797;-0.0019035242974606182;0.03787660366323613;0.033677955028405454;0.02562743993350893;0.019246820349392797
93;0.09959546877745634;-0.017193226526186673;-0.06032503689486234;0.2953899698869191;-0.12701208918073895;0.07143573103223072;-0.0006899226224882254;-0.11829198855006358;-0.1018463475671076;0.07117073099629975;0.10085561714698991;-0.07124601548312842;-0.027979670075135618;0.03807046661511696;-0.05837827400832483;0.029355607806189045;-0.05760269938994421;0.054644143201257434;0.03185032259782988;-0.022699374553335643
