;1;2;3;4;5;6;7;8;15;16;22;23;25;26;28;29;30;32;33;34;35;44;45;46;47;48;49;55;60;61;62;65;66;67;68;69;70;71;72;75;76;79;82;83;85;86;87;88;89;90;91;92;93;94;95;96;97;98;100;101;102;103;104;105;106;107;108;110;111;112;113;114;115;117;118;119;120;121;122;123;124;125;126;127
16;12.0;65.0;4.0;30.0;1.0;240.0;240.0;1250.0;300000.0;625.0;3450.0;2.88;1200.0;1200.0;24.0;0.0;3619.1;1.2566;1.2566;425.8;2.13;6.0;2.0;56.5;2.0;160.0;0.13;0.65;24.49;0.0;19.59;0.0875;2.36;0.0962;0.2185;0.2185;0.0332;7.2;13.5;472.61;472.61;1725.0;441.0;0.0332;1630.5;0.1926;0.0953;0.902;426.0;0.242;0.879;1055.0;0.879;1055.0;0.192;1625.11;471.05;1.0;0.03;10.5;5.4;0.18;0.53;2.87;19.2;0.25;0.44;1.0;1.0;0.0;1.0;1.0;0.0;20.7;25.8;21.8;23.4;231.28;187.23;418.51;1156.42;0.362;418.51;1129.0
17;13.0;111.0;5.0;24.0;0.0;307.3;307.3;561.3;172522.0;280.7;1752.6;3.76;466.1;466.1;28.7;0.0;2578.9;1.8003;1.8003;555.2;2.78;6.4;2.0;63.3;2.0;209.6;0.37;0.32;22.87;1.0;18.29;0.1123;2.23;0.0975;0.4371;0.4371;0.0175;4.14;3.94;237.46;237.46;876.0;0.0;0.0;416.18;0.2726;0.111;0.909;424.0;0.368;0.816;380.0;0.759;354.0;0.332;506.79;289.16;0.82;0.02;7.6;7.49;0.13;0.85;0.0;0.0;0.0;0.01;0.0;1.0;0.0;0.0;0.0;0.0;19.1;24.1;20.1;21.7;110.75;45.86;156.61;553.76;0.283;156.61;1516.0
18;14.0;117.0;37.0;32.0;0.0;154.9;154.9;558.8;86580.0;279.4;1752.6;3.78;463.6;463.6;28.7;0.0;1289.5;1.7953;1.7953;555.2;2.78;6.4;2.0;63.3;2.0;209.6;0.38;0.64;28.11;1.0;22.49;0.1;2.62;0.0933;0.3546;0.3546;0.0282;2.08;1.98;157.66;157.66;876.0;0.0;0.0;276.31;0.2953;0.122;0.888;555.0;0.4;0.8;371.0;0.8;371.0;0.2838;265.55;151.52;1.04;0.03;9.67;5.87;0.17;0.74;0.0;0.0;0.0;0.01;0.0;1.0;0.0;0.0;0.0;0.0;24.3;29.6;25.6;27.2;62.2;45.61;107.81;310.99;0.347;107.81;1462.0
19;16.0;132.0;7.0;43.0;1.0;200.0;200.0;400.0;80000.0;200.0;1042.5;2.95;353.0;353.0;32.0;0.0;1608.5;2.2783;2.2783;500.0;2.5;6.0;2.0;56.5;2.0;165.0;0.41;0.91;82.65;1.0;66.12;0.0;4.86;0.0588;0.1378;0.1378;0.0137;1.92;1.07;225.55;226.62;521.0;530.0;0.0137;235.14;0.1142;0.0533;0.669;457.0;0.188;0.906;320.0;0.897;317.0;0.1236;254.67;244.29;0.92;0.01;6.73;8.47;0.12;0.46;3.88;14.44;0.18;0.56;1.0;1.0;1.0;0.0;1.0;0.0;78.9;87.0;83.0;84.6;107.85;64.12;171.97;539.27;0.319;171.97;1312.0
20;15.0;137.0;6.0;22.0;1.0;139.0;139.0;260.0;36140.0;130.0;600.0;2.56;234.0;234.0;12.0;0.0;339.3;1.0431;1.0431;818.5;4.09;6.0;2.0;56.5;2.0;100.0;0.38;1.78;28.69;0.0;22.96;0.0;2.66;0.0929;0.2975;0.2975;0.0774;0.87;1.04;95.65;96.69;300.0;0.0;0.0;57.39;0.2628;0.154;0.885;818.0;0.336;0.832;195.0;0.832;195.0;0.2475;54.06;90.1;1.06;0.08;16.15;3.45;0.27;0.58;0.0;0.0;0.0;3.43;0.0;1.0;0.0;0.0;0.0;0.0;24.9;30.2;26.2;27.8;28.49;57.77;86.25;142.43;0.606;86.25;1109.0
21;17.0;213.0;9.0;145.0;1.0;250.0;80.0;400.0;59200.0;200.0;1500.0;3.95;380.0;380.0;12.0;0.0;1017.9;1.0714;3.3483;490.5;2.45;6.0;2.0;56.5;2.0;100.0;0.25;3.47;32.37;0.0;25.9;0.0;2.92;0.0902;0.1623;0.1623;0.1339;1.42;1.07;122.63;123.69;750.0;0.0;0.0;183.94;0.1574;0.1718;0.871;491.0;0.186;0.907;345.0;0.907;345.0;0.1472;172.03;114.69;1.07;0.13;21.46;2.54;0.34;0.5;0.0;0.0;0.0;0.34;0.0;0.0;0.0;0.0;0.0;0.0;28.6;34.1;30.1;31.7;28.42;105.4;133.82;142.09;0.942;133.82;0.916
22;18.0;217.0;10.0;49.0;0.0;584.2;177.8;387.4;110161.0;140.1;914.4;2.97;307.8;307.8;22.2;0.0;775.9;0.4314;1.4175;583.5;2.92;6.4;2.0;63.3;2.0;146.1;0.38;1.29;15.99;1.0;12.79;0.0891;1.65;0.1035;0.1575;0.1575;0.1009;2.64;2.05;140.11;142.16;457.0;0.0;0.0;128.12;0.1448;0.2185;0.936;584.0;0.168;0.916;282.0;0.916;282.0;0.1442;127.65;139.6;1.0;0.1;18.52;2.99;0.3;0.73;0.0;0.0;0.0;1.45;0.0;1.0;0.0;0.0;0.0;0.0;12.2;16.8;12.8;14.4;34.53;70.62;105.15;172.66;0.609;105.15;1332.0
23;19.0;218.0;10.0;50.0;0.0;584.2;177.8;387.4;110161.0;140.1;914.4;3.06;299.2;299.2;32.3;0.0;2410.4;1.379;4.5309;576.9;2.88;12.7;2.0;253.4;2.0;88.9;0.23;5.46;32.3;1.0;25.84;0.0668;2.92;0.0903;0.2463;0.2463;0.2113;2.64;2.01;411.88;413.9;457.0;0.0;0.0;376.63;0.2229;0.349;0.871;577.0;0.283;0.859;257.0;0.859;257.0;0.2115;357.25;390.69;1.05;0.21;27.37;1.93;0.41;0.85;0.0;0.0;0.0;1.26;0.0;1.0;0.0;0.0;0.0;0.0;28.5;34.0;30.0;31.6;49.67;290.51;340.18;248.35;1370.0;248.35;1658.0
24;20.0;219.0;10.0;51.0;0.0;584.2;177.8;387.4;110161.0;140.1;914.4;2.95;309.6;309.6;32.3;0.0;2410.4;1.3326;4.3785;576.9;2.88;6.4;2.0;63.3;2.0;146.1;0.38;1.29;32.3;1.0;25.84;0.0668;2.92;0.0903;0.238;0.238;0.0499;2.64;2.08;225.07;227.15;457.0;0.0;0.0;205.8;0.1138;0.1702;0.871;297.0;0.141;0.93;288.0;0.863;267.0;0.2055;371.73;406.53;0.55;0.05;12.91;4.36;0.22;0.78;0.0;0.0;0.0;0.63;0.0;1.0;0.0;0.0;0.0;0.0;28.5;34.0;30.0;31.6;51.4;71.03;122.43;257.0;0.476;122.43;1838.0
25;21.0;221.0;10.0;52.0;0.0;584.2;177.8;387.4;110161.0;140.1;914.4;2.99;306.1;306.1;22.2;0.0;1345.9;0.7527;2.4733;601.6;3.01;6.4;2.0;63.3;2.0;146.1;0.38;1.29;32.3;1.0;25.84;0.0668;2.92;0.0903;0.1402;0.1402;0.0499;2.64;2.12;217.51;219.62;457.0;0.0;0.0;198.89;0.1125;0.1662;0.871;519.0;0.139;0.931;285.0;0.919;281.0;0.1289;227.88;249.21;0.87;0.05;12.91;4.36;0.22;0.76;0.0;0.0;0.0;0.75;0.0;1.0;0.0;0.0;0.0;0.0;28.5;34.0;30.0;31.6;50.81;70.21;121.02;254.05;0.476;121.02;1797.0
